timestamp,symbol,last,volume,bid,ask
2025-11-20 14:30:00+00:00,AAPL,273.32000732421875,1301096,273.18334732055666,273.45666732788084
2025-11-20 14:30:00+00:00,MSFT,491.7699890136719,609070,491.52410401916507,492.0158740081787
2025-11-20 14:31:00+00:00,AAPL,273.3800048828125,322089,273.2433148803711,273.5166948852539
2025-11-20 14:31:00+00:00,MSFT,492.3900146484375,116919,492.1438196411133,492.6362096557617
2025-11-20 14:32:00+00:00,AAPL,272.3900146484375,278804,272.2538196411133,272.5262096557617
2025-11-20 14:32:00+00:00,MSFT,490.94000244140625,139013,490.6945324401856,491.1854724426269
2025-11-20 14:33:00+00:00,AAPL,272.635009765625,178926,272.4986922607422,272.7713272705078
2025-11-20 14:33:00+00:00,MSFT,490.70001220703125,191984,490.45466220092777,490.94536221313473
2025-11-20 14:34:00+00:00,AAPL,272.5450134277344,145848,272.4087409210205,272.6812859344482
2025-11-20 14:34:00+00:00,MSFT,491.79998779296875,88219,491.5540877990723,492.0458877868652
2025-11-20 14:35:00+00:00,AAPL,273.1099853515625,168099,272.97343035888673,273.24654034423827
2025-11-20 14:35:00+00:00,MSFT,492.17999267578125,70073,491.9339026794434,492.4260826721191
2025-11-20 14:36:00+00:00,AAPL,272.9150085449219,165779,272.7785510406494,273.05146604919435
2025-11-20 14:36:00+00:00,MSFT,491.20001220703125,89411,490.9544122009278,491.4456122131347
2025-11-20 14:37:00+00:00,AAPL,272.247314453125,98052,272.11119079589844,272.38343811035156
2025-11-20 14:37:00+00:00,MSFT,491.1600036621094,84610,490.9144236602784,491.4055836639404
2025-11-20 14:38:00+00:00,AAPL,273.2300109863281,194710,273.093395980835,273.36662599182125
2025-11-20 14:38:00+00:00,MSFT,491.4150085449219,111833,491.16930104064943,491.6607160491943
2025-11-20 14:39:00+00:00,AAPL,273.4208068847656,223646,273.2840964813233,273.557517288208
2025-11-20 14:39:00+00:00,MSFT,491.8399963378906,101449,491.5940763397217,492.08591633605954
